('при', 0.24930870532989502)
('надо', 0.24347704648971558)
('карета', 0.23833481967449188)
('отвечать', 0.21782241761684418)
('смотреть', 0.1810062974691391)
('это', 0.18084853887557983)
('молодой', 0.1785401701927185)
('время', 0.16912983357906342)
('глаз', 0.14537084102630615)
('особенно', 0.1441526710987091)
('к', 0.14195357263088226)
('наполеон', 0.13526594638824463)
('они', 0.1340092271566391)
('равенство', 0.13257545232772827)
('трудно', 0.1311340183019638)
('вечер', 0.12898582220077515)
('казаться', 0.12851260602474213)
('свой', 0.12648463249206543)
('страх', 0.12588007748126984)
('потому', 0.12585699558258057)
('даже', 0.11114082485437393)
('смеяться', 0.11082202196121216)
('который', 0.11038516461849213)
('видеть', 0.109898641705513)
('кто', 0.10953345149755478)
('лицо', 0.10657227784395218)
('переходить', 0.10390660911798477)
('человек', 0.10365381836891174)
('передняя', 0.10153020918369293)
('с', 0.10039178282022476)
('я', 0.09415905922651291)
('элен', 0.09403147548437119)
('поехать', 0.08946575224399567)
('бонапарт', 0.08382008969783783)
('после', 0.08334049582481384)
('уходить', 0.08162645250558853)
('слишком', 0.08081036806106567)
('раз', 0.07999452203512192)
('пожимать', 0.07730136066675186)
('ты', 0.07500253617763519)
('теперь', 0.07445824146270752)
('будто', 0.07416681200265884)
('ни', 0.07148987054824829)
('аббат', 0.07044907659292221)
('выходить', 0.06904050707817078)
('красивый', 0.06894893199205399)
('чтобы', 0.06850983947515488)
('да', 0.06579739600419998)
('разговор', 0.06572435051202774)
('этот', 0.05955497920513153)
('взять', 0.057262569665908813)
('вы', 0.05633676052093506)
('добрый', 0.05410370975732803)
('думать', 0.052058711647987366)
('подавать', 0.0493130162358284)
('обращаться', 0.04901149868965149)
('ипполит', 0.044516339898109436)
('начинать', 0.04096367955207825)
('себя', 0.04083210974931717)
('мы', 0.0385119803249836)
('ли', 0.037090450525283813)
('обещать', 0.03678649663925171)
('герцог', 0.03480866923928261)
('княгиня', 0.0346686951816082)
('гость', 0.033597543835639954)
('принимать', 0.033529408276081085)
('общество', 0.032918453216552734)
('продолжать', 0.03263699635863304)
('князь', 0.03228267282247543)
('когда', 0.03173329681158066)
('анна', 0.02883065491914749)
('андрей', 0.02710462361574173)
('красавица', 0.026937685906887054)
('для', 0.02692165970802307)
('кружок', 0.026489857584238052)
('какой', 0.025851760059595108)
('проговаривать', 0.025186141952872276)
('большой', 0.019157610833644867)
('но', 0.018383897840976715)
('или', 0.016051283106207848)
('полный', 0.01504835020750761)
('видимо', 0.014695614576339722)
('павловна', 0.01136406883597374)
('не', 0.011334503069519997)
('дочь', 0.00956439133733511)
('милый', 0.007922172546386719)
('здоровье', 0.00773919140920043)
('он', 0.006672319024801254)
('быть', 0.006207949016243219)
('тогда', 0.005585566163063049)
('что', 0.00512319803237915)
('же', 0.00404425710439682)
('дама', 0.0036360789090394974)
('и', 0.003140360116958618)
('по', 0.0015328079462051392)
('речь', 0.0010902509093284607)
('пожилой', 0.0006156899034976959)
('нельзя', -0.00031403079628944397)
('о', -0.0006980430334806442)
('сын', -0.0011258497834205627)
